Temp,Pgauge,Fpv
70,0,1.0000
70,10.0,1.0007
70,20.0,1.0015
70,30.0,1.0022
70,40.0,1.0029
70,50.0,1.0037
70,60.0,1.0044
70,70.0,1.0052
70,80.0,1.0059
70,90.0,1.0067
70,100.0,1.0074
70,110.0,1.0082
70,120.0,1.0089
70,130.0,1.0097
70,140.0,1.0104
70,150.0,0.0112
70,160.0,1.0119
70,170.0,1.0127
70,180.0,1.0135
70,190.0,1.0142
70,200.0,1.0150
70,210.0,1.0157
70,220.0,1.0165
70,230.0,1.0173
70,240.0,1.0180
70,250.0,1.0188
70,260.0,1.0196
70,270.0,1.0204
70,280.0,1.0211
70,290.0,1.0219
70,300.0,1.0227
70,310.0,1.0235
70,320.0,1.0242
70,330.0,1.0250
70,340.0,1.0258
70,350.0,1.0266
70,360.0,1.0274
70,370.0,1.0281
70,380.0,1.0289
70,390.0,1.0297
70,400.0,1.0305
70,410.0,1.0313
70,420.0,1.0321
70,430.0,1.0329
70,440.0,1.0336
70,450.0,1.0344
70,460.0,1.0352
70,470.0,1.0360
70,480.0,1.0368
70,490.0,1.0376
70,500.0,1.0384
71,0,1.0000
71,10.0,1.0007
71,20.0,1.0015
71,30.0,1.0022
71,40.0,1.0029
71,50.0,1.0037
71,60.0,1.0044
71,70.0,1.0051
71,80.0,1.0059
71,90.0,1.0066
71,100.0,1.0074
71,110.0,1.0081
71,120.0,1.0089
71,130.0,1.0096
71,140.0,1.0104
71,150.0,1.0111
71,160.0,1.0119
71,170.0,1.0126
71,180.0,1.0134
71,190.0,1.0141
71,200.0,1.0149
71,210.0,1.0156
71,220.0,1.0164
71,230.0,1.0172
71,240.0,1.0179
71,250.0,1.0187
71,260.0,1.0195
71,270.0,1.0202
71,280.0,1.0210
71,290.0,1.0218
71,300.0,1.0225
71,310.0,1.0233
71,320.0,1.0241
71,330.0,1.0248
71,340.0,1.0256
71,350.0,1.0264
71,360.0,1.0272
71,370.0,1.0279
71,380.0,1.0287
71,390.0,1.0295
71,400.0,1.0303
71,410.0,1.0311
71,420.0,1.0318
71,430.0,1.0326
71,440.0,1.0334
71,450.0,1.0342
71,460.0,1.0350
71,470.0,1.0358
71,480.0,1.0365
71,490.0,1.0373
71,500.0,1.0381
72,0,1.0000
72,10.0,1.0007
72,20.0,1.0014
72,30.0,1.0022
72,40.0,1.0029
72,50.0,1.0036
72,60.0,1.0044
72,70.0,1.0051
72,80.0,1.0058
72,90.0,1.0066
72,100.0,1.0073
72,110.0,1.0081
72,120.0,1.0088
72,130.0,1.0096
72,140.0,1.0103
72,150.0,1.0110
72,160.0,1.0118
72,170.0,1.0125
72,180.0,1.0133
72,190.0,1.0140
72,200.0,1.0148
72,210.0,1.0155
72,220.0,1.0163
72,230.0,1.0171
72,240.0,1.0178
72,250.0,1.0186
72,260.0,1.0193
72,270.0,1.0201
72,280.0,1.0209
72,290.0,1.0216
72,300.0,1.0224
72,310.0,1.0231
72,320.0,1.0239
72,330.0,1.0247
72,340.0,1.0254
72,350.0,1.0262
72,360.0,1.0270
72,370.0,1.0277
72,380.0,1.0285
72,390.0,1.0293
72,400.0,1.0301
72,410.0,1.0308
72,420.0,1.0316
72,430.0,1.0324
72,440.0,1.0332
72,450.0,1.0339
72,460.0,1.0347
72,470.0,1.0355
72,480.0,1.0363
72,490.0,1.0371
72,500.0,1.0378
73,0,1.0000
73,10.0,1.0007
73,20.0,1.0014
73,30.0,1.0022
73,40.0,1.0029
73,50.0,1.0036
73,60.0,1.0043
73,70.0,1.0051
73,80.0,1.0058
73,90.0,1.0065
73,100.0,1.0073
73,110.0,1.0080
73,120.0,1.0088
73,130.0,1.0095
73,140.0,1.0102
73,150.0,1.0110
73,160.0,1.0117
73,170.0,1.0125
73,180.0,1.0132
73,190.0,1.0139
73,200.0,1.0147
73,210.0,1.0154
73,220.0,1.0162
73,230.0,1.0169
73,240.0,1.0177
73,250.0,1.0185
73,260.0,1.0192
73,270.0,1.0200
73,280.0,1.0207
73,290.0,1.0215
73,300.0,1.0222
73,310.0,1.0230
73,320.0,1.0237
73,330.0,1.0245
73,340.0,1.0253
73,350.0,1.0260
73,360.0,1.0268
73,370.0,1.0276
73,380.0,1.0283
73,390.0,1.0291
73,400.0,1.0298
73,410.0,1.0306
73,420.0,1.0314
73,430.0,1.0322
73,440.0,1.0329
73,450.0,1.0337
73,460.0,1.0345
73,470.0,1.0352
73,480.0,1.0360
73,490.0,1.0368
73,500.0,1.0376
74,0,1.0000
74,10.0,1.0007
74,20.0,1.0014
74,30.0,1.0021
74,40.0,1.0029
74,50.0,1.0036
74,60.0,1.0043
74,70.0,1.0050
74,80.0,1.0058
74,90.0,1.0065
74,100.0,1.0072
74,110.0,1.0080
74,120.0,1.0087
74,130.0,1.0094
74,140.0,1.0102
74,150.0,1.0109
74,160.0,1.0116
74,170.0,1.0124
74,180.0,1.0131
74,190.0,1.0139
74,200.0,1.0146
74,210.0,1.0153
74,220.0,1.0161
74,230.0,1.0168
74,240.0,1.0176
74,250.0,1.0183
74,260.0,1.0191
74,270.0,1.0198
74,280.0,1.0206
74,290.0,1.0213
74,300.0,1.0221
74,310.0,1.0228
74,320.0,1.0236
74,330.0,1.0243
74,340.0,1.0251
74,350.0,1.0258
74,360.0,1.0266
74,370.0,1.0274
74,380.0,1.0281
74,390.0,1.0289
74,400.0,1.0296
74,410.0,1.0304
74,420.0,1.0312
74,430.0,1.0319
74,440.0,1.0327
74,450.0,1.0335
74,460.0,1.0342
74,470.0,1.0350
74,480.0,1.0357
74,490.0,1.0365
74,500.0,1.0373
75,0,1.0000
75,10.0,1.0007
75,20.0,1.0014
75,30.0,1.0021
75,40.0,1.0029
75,50.0,1.0036
75,60.0,1.0043
75,70.0,1.0050
75,80.0,1.0057
75,90.0,1.0065
75,100.0,1.0072
75,110.0,1.0079
75,120.0,1.0086
75,130.0,1.0094
75,140.0,1.0101
75,150.0,1.0108
75,160.0,1.0116
75,170.0,1.0123
75,180.0,1.0130
75,190.0,1.0138
75,200.0,1.0145
75,210.0,1.0152
75,220.0,1.0160
75,230.0,1.0167
75,240.0,1.0175
75,250.0,1.0182
75,260.0,1.0190
75,270.0,1.0197
75,280.0,1.0204
75,290.0,1.0212
75,300.0,1.0219
75,310.0,1.0227
75,320.0,1.0234
75,330.0,1.0242
75,340.0,1.0249
75,350.0,1.0257
75,360.0,1.0264
75,370.0,1.0272
75,380.0,1.0279
75,390.0,1.0287
75,400.0,1.0294
75,410.0,1.0302
75,420.0,1.0309
75,430.0,1.0317
75,440.0,1.0325
75,450.0,1.0332
75,460.0,1.0340
75,470.0,1.0347
75,480.0,1.0355
75,490.0,1.0362
75,500.0,1.0370
76,0,1.0000
76,10.0,1.0007
76,20.0,1.0014
76,30.0,1.0021
76,40.0,1.0028
76,50.0,1.0036
76,60.0,1.0043
76,70.0,1.0050
76,80.0,1.0057
76,90.0,1.0064
76,100.0,1.0071
76,110.0,1.0079
76,120.0,1.0086
76,130.0,1.0093
76,140.0,1.0100
76,150.0,1.0108
76,160.0,1.0115
76,170.0,1.0122
76,180.0,1.0130
76,190.0,1.0137
76,200.0,1.0144
76,210.0,1.0151
76,220.0,1.0159
76,230.0,1.0166
76,240.0,1.0174
76,250.0,1.0181
76,260.0,1.0188
76,270.0,1.0196
76,280.0,1.0203
76,290.0,1.0210
76,300.0,1.0218
76,310.0,1.0225
76,320.0,1.0233
76,330.0,1.0240
76,340.0,1.0247
76,350.0,1.0255
76,360.0,1.0262
76,370.0,1.0270
76,380.0,1.0277
76,390.0,1.0285
76,400.0,1.0292
76,410.0,1.0300
76,420.0,1.0307
76,430.0,1.0315
76,440.0,1.0322
76,450.0,1.0330
76,460.0,1.0337
76,470.0,1.0345
76,480.0,1.0352
76,490.0,1.0360
76,500.0,1.0367
77,0,1.0000
77,10.0,1.0007
77,20.0,1.0014
77,30.0,1.0021
77,40.0,1.0028
77,50.0,1.0035
77,60.0,1.0042
77,70.0,1.0050
77,80.0,1.0057
77,90.0,1.0064
77,100.0,1.0071
77,110.0,1.0078
77,120.0,1.0085
77,130.0,1.0093
77,140.0,1.0100
77,150.0,1.0107
77,160.0,1.0114
77,170.0,1.0121
77,180.0,1.0129
77,190.0,1.0136
77,200.0,1.0143
77,210.0,1.0151
77,220.0,1.0158
77,230.0,1.0165
77,240.0,1.0172
77,250.0,1.0180
77,260.0,1.0187
77,270.0,1.0194
77,280.0,1.0202
77,290.0,1.0209
77,300.0,1.0216
77,310.0,1.0224
77,320.0,1.0231
77,330.0,1.0238
77,340.0,1.0246
77,350.0,1.0253
77,360.0,1.0261
77,370.0,1.0268
77,380.0,1.0275
77,390.0,1.0283
77,400.0,1.0290
77,410.0,1.0298
77,420.0,1.0305
77,430.0,1.0312
77,440.0,1.0320
77,450.0,1.0327
77,460.0,1.0335
77,470.0,1.0342
77,480.0,1.0350
77,490.0,1.0357
77,500.0,1.0365
78,0,1.0000
78,10.0,1.0007
78,20.0,1.0014
78,30.0,1.0021
78,40.0,1.0028
78,50.0,1.0035
78,60.0,1.0042
78,70.0,1.0049
78,80.0,1.0056
78,90.0,1.0063
78,100.0,1.0071
78,110.0,1.0078
78,120.0,1.0085
78,130.0,1.0092
78,140.0,1.0099
78,150.0,1.0106
78,160.0,1.0113
78,170.0,1.0121
78,180.0,1.0128
78,190.0,1.0135
78,200.0,1.0142
78,210.0,1.0150
78,220.0,1.0157
78,230.0,1.0164
78,240.0,1.0171
78,250.0,1.0179
78,260.0,1.0186
78,270.0,1.0193
78,280.0,1.0200
78,290.0,1.0208
78,300.0,1.0215
78,310.0,1.0222
78,320.0,1.0230
78,330.0,1.0237
78,340.0,1.0244
78,350.0,1.0251
78,360.0,1.0259
78,370.0,1.0266
78,380.0,1.0273
78,390.0,1.0281
78,400.0,1.0288
78,410.0,1.0296
78,420.0,1.0303
78,430.0,1.0310
78,440.0,1.0318
78,450.0,1.0325
78,460.0,1.0332
78,470.0,1.0340
78,480.0,1.0347
78,490.0,1.0355
78,500.0,1.0362
79,0,1.0000
79,10.0,1.0007
79,20.0,1.0014
79,30.0,1.0021
79,40.0,1.0028
79,50.0,1.0035
79,60.0,1.0042
79,70.0,1.0049
79,80.0,1.0056
79,90.0,1.0063
79,100.0,1.0070
79,110.0,1.0077
79,120.0,1.0084
79,130.0,1.0091
79,140.0,1.0099
79,150.0,1.0106
79,160.0,1.0113
79,170.0,1.0120
79,180.0,1.0127
79,190.0,1.0134
79,200.0,1.0141
79,210.0,1.0149
79,220.0,1.0156
79,230.0,1.0163
79,240.0,1.0170
79,250.0,1.0177
79,260.0,1.0185
79,270.0,1.0192
79,280.0,1.0199
79,290.0,1.0206
79,300.0,1.0213
79,310.0,1.0221
79,320.0,1.0228
79,330.0,1.0235
79,340.0,1.0242
79,350.0,1.0250
79,360.0,1.0257
79,370.0,1.0264
79,380.0,1.0272
79,390.0,1.0279
79,400.0,1.0286
79,410.0,1.0293
79,420.0,1.0301
79,430.0,1.0308
79,440.0,1.0315
79,450.0,1.0323
79,460.0,1.0330
79,470.0,1.0337
79,480.0,1.0345
79,490.0,1.0352
79,500.0,1.0359
80,0,1.0000
80,10.0,1.0007
80,20.0,1.0014
80,30.0,1.0021
80,40.0,1.0028
80,50.0,1.0035
80,60.0,1.0042
80,70.0,1.0049
80,80.0,1.0056
80,90.0,1.0063
80,100.0,1.0070
80,110.0,1.0077
80,120.0,1.0084
80,130.0,1.0091
80,140.0,1.0098
80,150.0,1.0105
80,160.0,1.0112
80,170.0,1.0119
80,180.0,1.0126
80,190.0,1.0133
80,200.0,1.0141
80,210.0,1.0148
80,220.0,1.0155
80,230.0,1.0162
80,240.0,1.0169
80,250.0,1.0176
80,260.0,1.0183
80,270.0,1.0191
80,280.0,1.0198
80,290.0,1.0205
80,300.0,1.0212
80,310.0,1.0219
80,320.0,1.0226
80,330.0,1.0234
80,340.0,1.0241
80,350.0,1.0248
80,360.0,1.0255
80,370.0,1.0262
80,380.0,1.0270
80,390.0,1.0277
80,400.0,1.0284
80,410.0,1.0291
80,420.0,1.0299
80,430.0,1.0306
80,440.0,1.0313
80,450.0,1.0320
80,460.0,1.0328
80,470.0,1.0335
80,480.0,1.0342
80,490.0,1.0350
80,500.0,1.0357
81,0,1.0000
81,10.0,1.0007
81,20.0,1.0014
81,30.0,1.0021
81,40.0,1.0027
81,50.0,1.0034
81,60.0,1.0041
81,70.0,1.0048
81,80.0,1.0055
81,90.0,1.0062
81,100.0,1.0069
81,110.0,1.0076
81,120.0,1.0083
81,130.0,1.0090
81,140.0,1.0097
81,150.0,1.0104
81,160.0,1.0111
81,170.0,1.0118
81,180.0,1.0125
81,190.0,1.0132
81,200.0,1.0140
81,210.0,1.0147
81,220.0,1.0154
81,230.0,1.0161
81,240.0,1.0168
81,250.0,1.0175
81,260.0,1.0182
81,270.0,1.0189
81,280.0,1.0196
81,290.0,1.0203
81,300.0,1.0211
81,310.0,1.0218
81,320.0,1.0225
81,330.0,1.0232
81,340.0,1.0239
81,350.0,1.0246
81,360.0,1.0253
81,370.0,1.0261
81,380.0,1.0268
81,390.0,1.0275
81,400.0,1.0282
81,410.0,1.0289
81,420.0,1.0297
81,430.0,1.0304
81,440.0,1.0311
81,450.0,1.0318
81,460.0,1.0325
81,470.0,1.0333
81,480.0,1.0340
81,490.0,1.0347
81,500.0,1.0354
82,0,1.0000
82,10.0,1.0007
82,20.0,1.0014
82,30.0,1.0020
82,40.0,1.0027
82,50.0,1.0034
82,60.0,1.0041
82,70.0,1.0048
82,80.0,1.0055
82,90.0,1.0062
82,100.0,1.0069
82,110.0,1.0076
82,120.0,1.0083
82,130.0,1.0090
82,140.0,1.0097
82,150.0,1.0104
82,160.0,1.0111
82,170.0,1.0118
82,180.0,1.0125
82,190.0,1.0132
82,200.0,1.0139
82,210.0,1.0146
82,220.0,1.0153
82,230.0,1.0160
82,240.0,1.0167
82,250.0,1.0174
82,260.0,1.0181
82,270.0,1.0188
82,280.0,1.0195
82,290.0,1.0202
82,300.0,1.0209
82,310.0,1.0216
82,320.0,1.0223
82,330.0,1.0230
82,340.0,1.0237
82,350.0,1.0245
82,360.0,1.0252
82,370.0,1.0259
82,380.0,1.0266
82,390.0,1.0273
82,400.0,1.0280
82,410.0,1.0287
82,420.0,1.0294
82,430.0,1.0302
82,440.0,1.0309
82,450.0,1.0316
82,460.0,1.0323
82,470.0,1.0330
82,480.0,1.0337
82,490.0,1.0345
82,500.0,1.0352
83,0,1.0000
83,10.0,1.0007
83,20.0,1.0013
83,30.0,1.0020
83,40.0,1.0027
83,50.0,1.0034
83,60.0,1.0041
83,70.0,1.0048
83,80.0,1.0055
83,90.0,1.0061
83,100.0,1.0068
83,110.0,1.0075
83,120.0,1.0082
83,130.0,1.0089
83,140.0,1.0096
83,150.0,1.0103
83,160.0,1.0110
83,170.0,1.0117
83,180.0,1.0124
83,190.0,1.0131
83,200.0,1.0138
83,210.0,1.0145
83,220.0,1.0152
83,230.0,1.0159
83,240.0,1.0166
83,250.0,1.0173
83,260.0,1.0180
83,270.0,1.0187
83,280.0,1.0194
83,290.0,1.0201
83,300.0,1.0208
83,310.0,1.0215
83,320.0,1.0222
83,330.0,1.0229
83,340.0,1.0236
83,350.0,1.0243
83,360.0,1.0250
83,370.0,1.0257
83,380.0,1.0264
83,390.0,1.0271
83,400.0,1.0278
83,410.0,1.0285
83,420.0,1.0292
83,430.0,1.0299
83,440.0,1.0306
83,450.0,1.0314
83,460.0,1.0321
83,470.0,1.0328
83,480.0,1.0335
83,490.0,1.0342
83,500.0,1.0349
84,0,1.0000
84,10.0,1.0007
84,20.0,1.0013
84,30.0,1.0020
84,40.0,1.0027
84,50.0,1.0034
84,60.0,1.0041
84,70.0,1.0047
84,80.0,1.0054
84,90.0,1.0061
84,100.0,1.0068
84,110.0,1.0075
84,120.0,1.0081
84,130.0,1.0088
84,140.0,1.0095
84,150.0,1.0102
84,160.0,1.0109
84,170.0,1.0116
84,180.0,1.0123
84,190.0,1.0130
84,200.0,1.0137
84,210.0,1.0144
84,220.0,1.0151
84,230.0,1.0157
84,240.0,1.0164
84,250.0,1.0171
84,260.0,1.0178
84,270.0,1.0185
84,280.0,1.0192
84,290.0,1.0199
84,300.0,1.0206
84,310.0,1.0213
84,320.0,1.0220
84,330.0,1.0227
84,340.0,1.0234
84,350.0,1.0241
84,360.0,1.0248
84,370.0,1.0255
84,380.0,1.0262
84,390.0,1.0269
84,400.0,1.0276
84,410.0,1.0283
84,420.0,1.0290
84,430.0,1.0297
84,440.0,1.0304
84,450.0,1.0311
84,460.0,1.0318
84,470.0,1.0325
84,480.0,1.0333
84,490.0,1.0340
84,500.0,1.0347
85,0,1.0000
85,10.0,1.0007
85,20.0,1.0013
85,30.0,1.0020
85,40.0,1.0027
85,50.0,1.0033
85,60.0,1.0040
85,70.0,1.0047
85,80.0,1.0054
85,90.0,1.0061
85,100.0,1.0067
85,110.0,1.0074
85,120.0,1.0081
85,130.0,1.0088
85,140.0,1.0095
85,150.0,1.0101
85,160.0,1.0108
85,170.0,1.0115
85,180.0,1.0122
85,190.0,1.0129
85,200.0,1.0136
85,210.0,1.0143
85,220.0,1.0149
85,230.0,1.0156
85,240.0,1.0163
85,250.0,1.0170
85,260.0,1.0177
85,270.0,1.0184
85,280.0,1.0191
85,290.0,1.0198
85,300.0,1.0205
85,310.0,1.0212
85,320.0,1.0219
85,330.0,1.0226
85,340.0,1.0232
85,350.0,1.0239
85,360.0,1.0246
85,370.0,1.0253
85,380.0,1.0260
85,390.0,1.0267
85,400.0,1.0274
85,410.0,1.0281
85,420.0,1.0288
85,430.0,1.0295
85,440.0,1.0302
85,450.0,1.0309
85,460.0,1.0316
85,470.0,1.0323
85,480.0,1.0330
85,490.0,1.0337
85,500.0,1.0344
86,0,1.0000
86,10.0,1.0007
86,20.0,1.0013
86,30.0,1.0020
86,40.0,1.0027
86,50.0,1.0033
86,60.0,1.0040
86,70.0,1.0047
86,80.0,1.0053
86,90.0,1.0060
86,100.0,1.0067
86,110.0,1.0074
86,120.0,1.0080
86,130.0,1.0087
