Date,Time,Acc. Corrected  Meter Reading (Sm3),Consumption (mmBtu),Consumption (Sm3),Calorific Value (MJ/Sm3),Consumption (m3),Acc. Uncorrected Meter Reading (m3),Pressure (kPa),Temperature (°C),Conversion Factor,Contractual Conversion Factor,Z Factor
24/05/2022,19,,.0000,,.037852,,"2,870,620.0000",.20,17.01,.0000,1.0000,1.0075
24/05/2022,20,507.0000,19.1910,507.0000,.037852,216.0000,"2,870,926.0000",120.14,16.90,399.9957,1.0000,.4256
24/05/2022,21,"1,471.0000",36.4893,964.0000,.037852,410.0000,"2,871,336.0000",137.67,16.77,420.0009,1.0000,.4257
24/05/2022,22,"2,371.0000",34.0668,900.0000,.037852,383.0000,"2,871,719.0000",137.91,17.20,374.3794,1.0000,.4265
24/05/2022,23,"3,313.0000",35.6566,942.0000,.037852,401.0000,"2,872,120.0000",137.54,17.09,399.8637,1.0000,.4259
25/05/2022,0,"4,274.0000",36.3758,961.0000,.037852,409.0000,"2,872,529.0000",137.61,16.87,443.0801,1.0000,.4253
25/05/2022,1,"5,257.0000",37.2085,983.0000,.037852,418.0000,"2,872,947.0000",137.60,16.61,498.4577,1.0000,.4249
25/05/2022,2,"6,308.0000",39.7825,"1,051.0000",.037852,446.0000,"2,873,393.0000",137.58,16.17,464.5238,1.0000,.4246
25/05/2022,3,"7,225.0000",34.7103,917.0000,.037852,389.0000,"2,873,782.0000",138.07,16.51,423.5302,1.0000,.4254
25/05/2022,4,"8,127.0000",34.1425,902.0000,.037852,383.0000,"2,874,165.0000",138.05,16.65,406.4449,1.0000,.4260
25/05/2022,5,"9,037.0000",34.4453,910.0000,.037852,387.0000,"2,874,552.0000",137.78,16.91,372.6083,1.0000,.4220
25/05/2022,6,"9,959.0000",34.8995,922.0000,.037852,392.0000,"2,874,944.0000",137.71,16.97,370.8796,1.0000,.4256
25/05/2022,7,"10,882.0000",34.9374,923.0000,.037852,392.0000,"2,875,336.0000",137.93,16.54,382.7042,1.0000,.4208
25/05/2022,8,"11,752.0000",32.9312,870.0000,.037852,369.0000,"2,875,705.0000",138.25,16.88,400.0511,1.0000,.4259
25/05/2022,9,"12,739.0000",37.3599,987.0000,.037852,421.0000,"2,876,126.0000",137.49,17.27,472.1332,1.0000,.4263
25/05/2022,10,"13,763.0000",38.7604,"1,024.0000",.037852,437.0000,"2,876,563.0000",137.41,17.36,506.2460,1.0000,.4258
25/05/2022,11,"14,940.0000",44.5518,"1,177.0000",.037852,501.0000,"2,877,064.0000",137.34,16.62,506.4081,1.0000,.4252
25/05/2022,12,"15,993.0000",39.8582,"1,053.0000",.037852,448.0000,"2,877,512.0000",137.47,16.77,406.4571,1.0000,.4259
25/05/2022,13,"16,998.0000",38.0413,"1,005.0000",.037852,428.0000,"2,877,940.0000",137.51,16.88,472.0521,1.0000,.4258
25/05/2022,14,"17,981.0000",37.2085,983.0000,.037852,419.0000,"2,878,359.0000",137.49,17.28,413.1135,1.0000,.4271
25/05/2022,15,"18,954.0000",36.8300,973.0000,.037852,415.0000,"2,878,774.0000",137.50,17.48,400.0043,1.0000,.4261
25/05/2022,16,"20,005.0000",39.7825,"1,051.0000",.037852,447.0000,"2,879,221.0000",137.52,16.52,405.4972,1.0000,.4238
25/05/2022,17,"21,031.0000",38.8362,"1,026.0000",.037852,436.0000,"2,879,657.0000",137.55,16.51,449.8811,1.0000,.4247
25/05/2022,18,"21,987.0000",36.1865,956.0000,.037852,406.0000,"2,880,063.0000",137.74,16.49,403.4541,1.0000,.4254
25/05/2022,19,"22,943.0000",36.1865,956.0000,.037852,406.0000,"2,880,469.0000",137.85,16.55,405.8059,1.0000,.4247
25/05/2022,20,"23,919.0000",36.9436,976.0000,.037852,415.0000,"2,880,884.0000",137.63,16.54,423.5377,1.0000,.4254
25/05/2022,21,"24,889.0000",36.7164,970.0000,.037852,412.0000,"2,881,296.0000",137.60,16.41,443.0812,1.0000,.4250
25/05/2022,22,"25,841.0000",36.0351,952.0000,.037852,404.0000,"2,881,700.0000",137.73,16.43,405.0421,1.0000,.4251
25/05/2022,23,"26,821.0000",37.0950,980.0000,.037852,416.0000,"2,882,116.0000",137.72,16.27,443.0857,1.0000,.4244
26/05/2022,0,"27,787.0000",36.5650,966.0000,.037852,409.0000,"2,882,525.0000",138.02,15.81,400.9538,1.0000,.4239
26/05/2022,1,"28,875.0000",41.1830,"1,088.0000",.037852,460.0000,"2,882,985.0000",137.68,15.20,415.7602,1.0000,.4184
26/05/2022,2,"29,913.0000",39.2904,"1,038.0000",.037852,439.0000,"2,883,424.0000",137.83,15.20,354.1156,1.0000,.4185
26/05/2022,3,"30,826.0000",34.5589,913.0000,.037852,385.0000,"2,883,809.0000",138.59,15.65,402.8202,1.0000,.4222
26/05/2022,4,"31,768.0000",35.6566,942.0000,.037852,398.0000,"2,884,207.0000",138.24,15.55,436.3590,1.0000,.4236
26/05/2022,5,"32,778.0000",38.2305,"1,010.0000",.037852,427.0000,"2,884,634.0000",137.69,15.21,429.8519,1.0000,.4230
26/05/2022,6,"33,731.0000",36.0730,953.0000,.037852,403.0000,"2,885,037.0000",138.00,15.34,429.8497,1.0000,.4233
26/05/2022,7,"34,767.0000",39.2147,"1,036.0000",.037852,438.0000,"2,885,475.0000",137.65,15.09,472.1297,1.0000,.4227
26/05/2022,8,"35,717.0000",35.9594,950.0000,.037852,401.0000,"2,885,876.0000",138.28,15.31,429.8543,1.0000,.4236
26/05/2022,9,"36,704.0000",37.3599,987.0000,.037852,418.0000,"2,886,294.0000",137.65,15.61,362.0975,1.0000,.4243
26/05/2022,10,"37,776.0000",40.5773,"1,072.0000",.037852,455.0000,"2,886,749.0000",137.41,16.05,429.8554,1.0000,.4252
26/05/2022,11,"38,716.0000",35.5809,940.0000,.037852,400.0000,"2,887,149.0000",137.62,16.78,423.1574,1.0000,.4251
26/05/2022,12,"39,694.0000",37.0193,978.0000,.037852,416.0000,"2,887,565.0000",137.51,16.54,429.8511,1.0000,.4254
26/05/2022,13,"40,710.0000",38.4576,"1,016.0000",.037852,432.0000,"2,887,997.0000",137.46,16.55,472.1283,1.0000,.4248
26/05/2022,14,"41,664.0000",36.1108,954.0000,.037852,406.0000,"2,888,403.0000",137.55,16.78,393.7412,1.0000,.4263
26/05/2022,15,"42,571.0000",34.3318,907.0000,.037852,386.0000,"2,888,789.0000",137.84,17.10,343.1250,1.0000,.4261
26/05/2022,16,"43,399.0000",31.3415,828.0000,.037852,352.0000,"2,889,141.0000",138.13,17.53,359.9915,1.0000,.4266
26/05/2022,17,"44,279.0000",33.3098,880.0000,.037852,375.0000,"2,889,516.0000",137.73,17.21,388.1182,1.0000,.4263
26/05/2022,18,"45,238.0000",36.3001,959.0000,.037852,408.0000,"2,889,924.0000",137.49,16.60,381.8224,1.0000,.4252
26/05/2022,19,"46,220.0000",37.1707,982.0000,.037852,417.0000,"2,890,341.0000",137.57,16.31,514.1397,1.0000,.4241
26/05/2022,20,"47,309.0000",41.2208,"1,089.0000",.037852,461.0000,"2,890,802.0000",137.63,15.47,380.2571,1.0000,.4242
26/05/2022,21,"48,259.0000",35.9594,950.0000,.037852,403.0000,"2,891,205.0000",137.77,16.06,394.3635,1.0000,.4248
26/05/2022,22,"49,229.0000",36.7164,970.0000,.037852,412.0000,"2,891,617.0000",137.59,16.30,419.9932,1.0000,.4250
26/05/2022,23,"50,286.0000",40.0096,"1,057.0000",.037852,449.0000,"2,892,066.0000",137.48,16.23,506.2503,1.0000,.4246
27/05/2022,0,"51,432.0000",43.3784,"1,146.0000",.037852,486.0000,"2,892,552.0000",137.47,15.89,436.3598,1.0000,.4245
